mH,mS,Lifetime,MCCampaign,RucioDSName,Use,Tags,Comments
60,5,5,mc16a,mc16_13TeV:mc16_13TeV.311417.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH60_mS5.deriv.DAOD_EXOT15.e7357_e5984_s3234_r9364_r9315_p3795,1,signal,Missing in Xcache
60,5,5,mc16d,mc16_13TeV:mc16_13TeV.311417.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH60_mS5.deriv.DAOD_EXOT15.e7357_e5984_s3234_r10201_r10210_p3795,1,signal,
60,5,5,mc16e,mc16_13TeV:mc16_13TeV.311417.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH60_mS5.deriv.DAOD_EXOT15.e7357_e5984_s3234_r10724_r10726_p3795,1,signal,
60,15,5,mc16a,mc16_13TeV:mc16_13TeV.311418.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH60_mS15.deriv.DAOD_EXOT15.e7357_e5984_s3234_r9364_r9315_p3795,1,signal,
60,15,5,mc16d,mc16_13TeV:mc16_13TeV.311418.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH60_mS15.deriv.DAOD_EXOT15.e7357_e5984_s3234_r10201_r10210_p3795,1,signal,
60,15,5,mc16e,mc16_13TeV:mc16_13TeV.311418.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH60_mS15.deriv.DAOD_EXOT15.e7357_e5984_s3234_r10724_r10726_p3795,1,signal,
125,5,5,mc16a,mc16_13TeV:mc16_13TeV.311309.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS5_ltlow.deriv.DAOD_EXOT15.e7270_e5984_s3234_r9364_r9315_p3795,1,signal,
125,5,5,mc16d,mc16_13TeV:mc16_13TeV.311309.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS5_ltlow.deriv.DAOD_EXOT15.e7270_e5984_s3234_r10201_r10210_p3795,1,signal,
125,5,5,mc16e,mc16_13TeV:mc16_13TeV.311309.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS5_ltlow.deriv.DAOD_EXOT15.e7270_e5984_s3234_r10724_r10726_p3795,1,signal,
125,5,9,mc16a,mc16_13TeV:mc16_13TeV.311310.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS5_lthigh.deriv.DAOD_EXOT15.e7270_e5984_s3234_r9364_r9315_p3795,1,signal,
125,5,9,mc16d,mc16_13TeV:mc16_13TeV.311310.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS5_lthigh.deriv.DAOD_EXOT15.e7270_e5984_s3234_r10201_r10210_p3795,1,signal,
125,5,9,mc16e,mc16_13TeV:mc16_13TeV.311310.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS5_lthigh.deriv.DAOD_EXOT15.e7270_e5984_s3234_r10724_r10726_p3795,1,signal,Missing in Xcache
125,15,5,mc16a,mc16_13TeV:mc16_13TeV.311311.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS15.deriv.DAOD_EXOT15.e7270_e5984_s3234_r9364_r9315_p3795,1,signal,
125,15,5,mc16d,mc16_13TeV:mc16_13TeV.311311.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS15.deriv.DAOD_EXOT15.e7270_e5984_s3234_r10201_r10210_p3795,1,signal,Missing in Xcache
125,15,5,mc16e,mc16_13TeV:mc16_13TeV.311311.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS15.deriv.DAOD_EXOT15.e7270_e5984_s3234_r10724_r10726_p3795,1,signal,
125,25,5,mc16e,mc16_13TeV:mc16_13TeV.304795.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH125_mS25_lt5m.deriv.DAOD_EXOT15.e4754_e5984_s3126_r10724_r10726_p3782,0,signal,"H to 4 b sample, lifetime short"
125,35,5,mc16a,mc16_13TeV:mc16_13TeV.311312.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS35_ltlow.deriv.DAOD_EXOT15.e7270_e5984_s3234_r9364_r9315_p3795,1,"signal,lowmass",
125,35,5,mc16d,mc16_13TeV:mc16_13TeV.311312.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS35_ltlow.deriv.DAOD_EXOT15.e7270_e5984_s3234_r10201_r10210_p3795,1,"signal,lowmass",
125,35,5,mc16e,mc16_13TeV:mc16_13TeV.311312.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS35_ltlow.deriv.DAOD_EXOT15.e7270_e5984_s3234_r10724_r10726_p3795,1,"signal,lowmass",
125,35,9,mc16a,mc16_13TeV:mc16_13TeV.311313.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS35_lthigh.deriv.DAOD_EXOT15.e7270_e5984_s3234_r9364_r9315_p3795,1,signal,
125,35,9,mc16d,mc16_13TeV:mc16_13TeV.311313.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS35_lthigh.deriv.DAOD_EXOT15.e7270_e5984_s3234_r10201_r10210_p3795,1,signal,
125,35,9,mc16e,mc16_13TeV:mc16_13TeV.311313.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS35_lthigh.deriv.DAOD_EXOT15.e7270_e5984_s3234_r10724_r10726_p3795,1,signal,
125,55,5,mc16a,mc16_13TeV:mc16_13TeV.311314.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS55_ltlow.deriv.DAOD_EXOT15.e7270_e5984_s3234_r9364_r9315_p3795,1,signal,
125,55,5,mc16d,mc16_13TeV:mc16_13TeV.311314.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS55_ltlow.deriv.DAOD_EXOT15.e7270_e5984_s3234_r10201_r10210_p3795,1,signal,
125,55,5,mc16e,mc16_13TeV:mc16_13TeV.311314.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS55_ltlow.deriv.DAOD_EXOT15.e7270_e5984_s3234_r10724_r10726_p3795,1,signal,
125,55,9,mc16a,mc16_13TeV:mc16_13TeV.311315.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS55_lthigh.deriv.DAOD_EXOT15.e7270_e5984_s3234_r9364_r9315_p3795,1,signal,
125,55,9,mc16d,mc16_13TeV:mc16_13TeV.311315.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS55_lthigh.deriv.DAOD_EXOT15.e7270_e5984_s3234_r10201_r10210_p3795,1,signal,
125,55,9,mc16e,mc16_13TeV:mc16_13TeV.311315.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS55_lthigh.deriv.DAOD_EXOT15.e7270_e5984_s3234_r10724_r10726_p3795,1,signal,
200,50,5,mc16a,mc16_13TeV:mc16_13TeV.311419.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH200_mS50.deriv.DAOD_EXOT15.e7357_e5984_s3234_r9364_r9315_p3795,1,signal,
200,50,5,mc16d,mc16_13TeV:mc16_13TeV.311419.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH200_mS50.deriv.DAOD_EXOT15.e7357_e5984_s3234_r10201_r10210_p3795,1,signal,
200,50,5,mc16e,mc16_13TeV:mc16_13TeV.311419.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH200_mS50.deriv.DAOD_EXOT15.e7357_e5984_s3234_r10724_r10726_p3795,1,signal,
400,100,5,mc16a,mc16_13TeV:mc16_13TeV.311420.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH400_mS100.deriv.DAOD_EXOT15.e7357_e5984_s3234_r9364_r9315_p3795,1,signal,
400,100,5,mc16d,mc16_13TeV:mc16_13TeV.311420.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH400_mS100.deriv.DAOD_EXOT15.e7357_e5984_s3234_r10201_r10210_p3795,1,signal,
400,100,5,mc16e,mc16_13TeV:mc16_13TeV.311420.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH400_mS100.deriv.DAOD_EXOT15.e7357_e5984_s3234_r10724_r10726_p3795,1,signal,
600,50,5,mc16a,mc16_13TeV:mc16_13TeV.311421.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH600_mS50.deriv.DAOD_EXOT15.e7357_e5984_s3234_r9364_r9315_p3795,1,signal,
600,50,5,mc16d,mc16_13TeV:mc16_13TeV.311421.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH600_mS50.deriv.DAOD_EXOT15.e7357_e5984_s3234_r10201_r10210_p3795,1,signal,
600,50,5,mc16e,mc16_13TeV:mc16_13TeV.311421.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH600_mS50.deriv.DAOD_EXOT15.e7357_e5984_s3234_r10724_r10726_p3795,1,signal,
600,150,5,mc16a,mc16_13TeV:mc16_13TeV.311422.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH600_mS150_ltlow.deriv.DAOD_EXOT15.e7357_e5984_s3234_r9364_r9315_p3795,1,signal,
600,150,5,mc16d,mc16_13TeV:mc16_13TeV.311422.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH600_mS150_ltlow.deriv.DAOD_EXOT15.e7357_e5984_s3234_r10201_r10210_p3795,1,signal,
600,150,5,mc16e,mc16_13TeV:mc16_13TeV.311422.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH600_mS150_ltlow.deriv.DAOD_EXOT15.e7357_e5984_s3234_r10724_r10726_p3795,1,signal,
600,150,9,mc16a,mc16_13TeV:mc16_13TeV.311423.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH600_mS150_lthigh.deriv.DAOD_EXOT15.e7357_e5984_s3234_r9364_r9315_p3795,1,signal,
600,150,9,mc16d,mc16_13TeV:mc16_13TeV.311423.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH600_mS150_lthigh.deriv.DAOD_EXOT15.e7357_e5984_s3234_r10201_r10210_p3795,1,signal,
600,150,9,mc16e,mc16_13TeV:mc16_13TeV.311423.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH600_mS150_lthigh.deriv.DAOD_EXOT15.e7357_e5984_s3234_r10724_r10726_p3795,1,signal,
600,275,5,mc16a,mc16_13TeV:mc16_13TeV.311424.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH600_mS275.deriv.DAOD_EXOT15.e7357_e5984_s3234_r9364_r9315_p3795,1,signal,
600,275,5,mc16d,mc16_13TeV:mc16_13TeV.311424.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH600_mS275.deriv.DAOD_EXOT15.e7357_e5984_s3234_r10201_r10210_p3795,1,signal,
600,275,5,mc16e,mc16_13TeV:mc16_13TeV.311424.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH600_mS275.deriv.DAOD_EXOT15.e7357_e5984_s3234_r10724_r10726_p3795,1,signal,
1000,50,5,mc16a,mc16_13TeV:mc16_13TeV.311425.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH1000_mS50.deriv.DAOD_EXOT15.e7357_e5984_s3234_r9364_r9315_p3795,1,signal,
1000,50,5,mc16d,mc16_13TeV:mc16_13TeV.311425.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH1000_mS50.deriv.DAOD_EXOT15.e7357_e5984_s3234_r10201_r10210_p3795,1,signal,
1000,50,5,mc16e,mc16_13TeV:mc16_13TeV.311425.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH1000_mS50.deriv.DAOD_EXOT15.e7357_e5984_s3234_r10724_r10726_p3795,1,signal,
1000,275,5,mc16a,mc16_13TeV:mc16_13TeV.311426.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH1000_mS275_ltlow.deriv.DAOD_EXOT15.e7357_e5984_s3234_r9364_r9315_p3795,1,"signal,highmass",
1000,275,5,mc16d,mc16_13TeV:mc16_13TeV.311426.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH1000_mS275_ltlow.deriv.DAOD_EXOT15.e7357_e5984_s3234_r10201_r10210_p3795,1,"signal,highmass",
1000,275,5,mc16e,mc16_13TeV:mc16_13TeV.311426.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH1000_mS275_ltlow.deriv.DAOD_EXOT15.e7357_e5984_s3234_r10724_r10726_p3795,1,"signal,highmass",
1000,275,9,mc16a,mc16_13TeV:mc16_13TeV.311427.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH1000_mS275_lthigh.deriv.DAOD_EXOT15.e7357_e5984_s3234_r9364_r9315_p3795,1,signal,
1000,275,9,mc16d,mc16_13TeV:mc16_13TeV.311427.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH1000_mS275_lthigh.deriv.DAOD_EXOT15.e7357_e5984_s3234_r10201_r10210_p3795,1,signal,
1000,275,9,mc16e,mc16_13TeV:mc16_13TeV.311427.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH1000_mS275_lthigh.deriv.DAOD_EXOT15.e7357_e5984_s3234_r10724_r10726_p3795,1,signal,
1000,475,5,mc16a,mc16_13TeV:mc16_13TeV.311428.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH1000_mS475.deriv.DAOD_EXOT15.e7357_e5984_s3234_r9364_r9315_p3795,0,"signal,highmass","Bad server"
1000,475,5,mc16d,mc16_13TeV:mc16_13TeV.311428.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH1000_mS475.deriv.DAOD_EXOT15.e7357_e5984_s3234_r10201_r10210_p3795,0,"signal,highmass","Bad server"
1000,475,5,mc16e,mc16_13TeV:mc16_13TeV.311428.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH1000_mS475.deriv.DAOD_EXOT15.e7357_e5984_s3234_r10724_r10726_p3795,0,"signal,highmass","Bad server"
,,,mc16a,mc16_13TeV:mc16_13TeV.361022.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ2W.deriv.DAOD_EXOT15.e3668_s3126_r9364_r9315_p3795,1,"jetjet,jz2"
,,,mc16d,mc16_13TeV:mc16_13TeV.361022.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ2W.deriv.DAOD_EXOT15.e3668_s3126_r10201_r10210_p3795,0,"jetjet,jz2"
,,,mc16a,mc16_13TeV:mc16_13TeV.361023.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ3W.deriv.DAOD_EXOT15.e3668_s3126_r9364_r9315_p3795,1,"jetjet,jz3"
,,,mc16d,mc16_13TeV:mc16_13TeV.361023.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ3W.deriv.DAOD_EXOT15.e3668_s3126_r10201_r10210_p3795,1,"jetjet,jz3"
,,,mc16a,mc16_13TeV:mc16_13TeV.361024.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ4W.deriv.DAOD_EXOT15.e3668_s3126_r9364_r9315_p3795,1,"jetjet,jz4"
,,,mc16d,mc16_13TeV:mc16_13TeV.361024.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ4W.deriv.DAOD_EXOT15.e3668_s3126_r10201_r10210_p3795,0,"jetjet,jz4"
,,,mc16a,mc16_13TeV:mc16_13TeV.361025.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ5W.deriv.DAOD_EXOT15.e3668_s3126_r9364_r9315_p3795,1,"jetjet,jz5"
,,,mc16d,mc16_13TeV:mc16_13TeV.361025.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ5W.deriv.DAOD_EXOT15.e3668_s3126_r10201_r10210_p3795,1,"jetjet,jz5"
,,,mc16a,mc16_13TeV:mc16_13TeV.361027.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ7W.deriv.DAOD_EXOT15.e3668_s3126_r9364_r9315_p3795,1,"jetjet,jz7"
,,,mc16d,mc16_13TeV:mc16_13TeV.361027.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ7W.deriv.DAOD_EXOT15.e3668_s3126_r10201_r10210_p3795,1,"jetjet,jz7"
